# These forecast values were fake created '2016-02-06' to compare the forecast values to actual sales values for the rest of 2016
item_id	demand_element_id	demand_date	value
2648	1	2016-02-07	16.9191
2648	1	2016-02-08	16.9191
2648	1	2016-02-09	16.9191
2648	1	2016-02-10	0.0000
2648	1	2016-02-11	0.0000
2648	1	2016-02-12	16.9191
2648	1	2016-02-13	16.9191
2648	1	2016-02-14	16.9191
2648	1	2016-02-15	16.9191
2648	1	2016-02-16	16.9191
2648	1	2016-02-17	0.0000
2648	1	2016-02-18	0.0000
2648	1	2016-02-19	16.9191
2648	1	2016-02-20	16.9191
2648	1	2016-02-21	16.9191
2648	1	2016-02-22	16.9191
2648	1	2016-02-23	16.9191
2648	1	2016-02-24	0.0000
2648	1	2016-02-25	0.0000
2648	1	2016-02-26	16.9191
2648	1	2016-02-27	16.9191
2648	1	2016-02-28	16.9191
2648	1	2016-02-29	16.9191
2648	1	2016-03-01	16.9191
2648	1	2016-03-02	0.0000
2648	1	2016-03-03	0.0000
2648	1	2016-03-04	16.9191
2648	1	2016-03-05	16.9191
2648	1	2016-03-06	15.4483
2648	1	2016-03-07	15.4483
2648	1	2016-03-08	15.4483
2648	1	2016-03-09	0.0000
2648	1	2016-03-10	0.0000
2648	1	2016-03-11	15.4483
2648	1	2016-03-12	15.4483
2648	1	2016-03-13	15.4483
2648	1	2016-03-14	15.4483
2648	1	2016-03-15	15.4483
2648	1	2016-03-16	0.0000
2648	1	2016-03-17	0.0000
2648	1	2016-03-18	15.4483
2648	1	2016-03-19	15.4483
2648	1	2016-03-20	15.4483
2648	1	2016-03-21	15.4483
2648	1	2016-03-22	15.4483
2648	1	2016-03-23	0.0000
2648	1	2016-03-24	0.0000
2648	1	2016-03-25	15.4483
2648	1	2016-03-26	15.4483
2648	1	2016-03-27	15.4483
2648	1	2016-03-28	15.4483
2648	1	2016-03-29	15.4483
2648	1	2016-03-30	0.0000
2648	1	2016-03-31	0.0000
2648	1	2016-04-01	15.4483
2648	1	2016-04-02	15.4483
2648	1	2016-04-03	15.4483
2648	1	2016-04-04	15.4483
2648	1	2016-04-05	15.4483
2648	1	2016-04-06	0.0000
2648	1	2016-04-07	0.0000
2648	1	2016-04-08	17.6886
2648	1	2016-04-09	17.6886
2648	1	2016-04-10	17.6886
2648	1	2016-04-11	17.6886
2648	1	2016-04-12	17.6886
2648	1	2016-04-13	0.0000
2648	1	2016-04-14	0.0000
2648	1	2016-04-15	17.6886
2648	1	2016-04-16	17.6886
2648	1	2016-04-17	17.6886
2648	1	2016-04-18	17.6886
2648	1	2016-04-19	17.6886
2648	1	2016-04-20	0.0000
2648	1	2016-04-21	0.0000
2648	1	2016-04-22	17.6886
2648	1	2016-04-23	17.6886
2648	1	2016-04-24	17.6886
2648	1	2016-04-25	17.6886
2648	1	2016-04-26	17.6886
2648	1	2016-04-27	0.0000
2648	1	2016-04-28	0.0000
2648	1	2016-04-29	17.6886
2648	1	2016-04-30	17.6886
2648	1	2016-05-01	17.6886
2648	1	2016-05-02	17.6886
2648	1	2016-05-03	17.6886
2648	1	2016-05-04	0.0000
2648	1	2016-05-05	0.0000
2648	1	2016-05-06	16.5476
2648	1	2016-05-07	16.5476
2648	1	2016-05-08	16.5476
2648	1	2016-05-09	16.5476
2648	1	2016-05-10	16.5476
2648	1	2016-05-11	0.0000
2648	1	2016-05-12	0.0000
2648	1	2016-05-13	16.5476
2648	1	2016-05-14	16.5476
2648	1	2016-05-15	16.5476
2648	1	2016-05-16	16.5476
2648	1	2016-05-17	16.5476
2648	1	2016-05-18	0.0000
2648	1	2016-05-19	0.0000
2648	1	2016-05-20	16.5476
2648	1	2016-05-21	16.5476
2648	1	2016-05-22	16.5476
2648	1	2016-05-23	16.5476
2648	1	2016-05-24	16.5476
2648	1	2016-05-25	0.0000
2648	1	2016-05-26	0.0000
2648	1	2016-05-27	16.5476
2648	1	2016-05-28	16.5476
2648	1	2016-05-29	16.5476
2648	1	2016-05-30	16.5476
2648	1	2016-05-31	16.5476
2648	1	2016-06-01	0.0000
2648	1	2016-06-02	0.0000
2648	1	2016-06-03	16.5476
2648	1	2016-06-04	16.5476
2648	1	2016-06-05	16.5476
2648	1	2016-06-06	16.7864
2648	1	2016-06-07	16.7864
2648	1	2016-06-08	0.0000
2648	1	2016-06-09	0.0000
2648	1	2016-06-10	16.7864
2648	1	2016-06-11	16.7864
2648	1	2016-06-12	16.7864
2648	1	2016-06-13	16.7864
2648	1	2016-06-14	16.7864
2648	1	2016-06-15	0.0000
2648	1	2016-06-16	0.0000
2648	1	2016-06-17	16.7864
2648	1	2016-06-18	16.7864
2648	1	2016-06-19	16.7864
2648	1	2016-06-20	16.7864
2648	1	2016-06-21	16.7864
2648	1	2016-06-22	0.0000
2648	1	2016-06-23	0.0000
2648	1	2016-06-24	16.7864
2648	1	2016-06-25	16.7864
2648	1	2016-06-26	16.7864
2648	1	2016-06-27	16.7864
2648	1	2016-06-28	16.7864
2648	1	2016-06-29	0.0000
2648	1	2016-06-30	0.0000
2648	1	2016-07-01	16.7864
2648	1	2016-07-02	16.7864
2648	1	2016-07-03	16.7864
2648	1	2016-07-04	16.7864
2648	1	2016-07-05	16.7864
2648	1	2016-07-06	0.0000
2648	1	2016-07-07	0.0000
2648	1	2016-07-08	17.9566
2648	1	2016-07-09	17.9566
2648	1	2016-07-10	17.9566
2648	1	2016-07-11	17.9566
2648	1	2016-07-12	17.9566
2648	1	2016-07-13	0.0000
2648	1	2016-07-14	0.0000
2648	1	2016-07-15	17.9566
2648	1	2016-07-16	17.9566
2648	1	2016-07-17	17.9566
2648	1	2016-07-18	17.9566
2648	1	2016-07-19	17.9566
2648	1	2016-07-20	0.0000
2648	1	2016-07-21	0.0000
2648	1	2016-07-22	17.9566
2648	1	2016-07-23	17.9566
2648	1	2016-07-24	17.9566
2648	1	2016-07-25	17.9566
2648	1	2016-07-26	17.9566
2648	1	2016-07-27	0.0000
2648	1	2016-07-28	0.0000
2648	1	2016-07-29	17.9566
2648	1	2016-07-30	17.9566
2648	1	2016-07-31	17.9566
2648	1	2016-08-01	17.9566
2648	1	2016-08-02	17.9566
2648	1	2016-08-03	0.0000
2648	1	2016-08-04	0.0000
2648	1	2016-08-05	17.9566
2648	1	2016-08-06	15.7784
2648	1	2016-08-07	15.7784
2648	1	2016-08-08	15.7784
2648	1	2016-08-09	15.7784
2648	1	2016-08-10	0.0000
2648	1	2016-08-11	0.0000
2648	1	2016-08-12	15.7784
2648	1	2016-08-13	15.7784
2648	1	2016-08-14	15.7784
2648	1	2016-08-15	15.7784
2648	1	2016-08-16	15.7784
2648	1	2016-08-17	0.0000
2648	1	2016-08-18	0.0000
2648	1	2016-08-19	15.7784
2648	1	2016-08-20	15.7784
2648	1	2016-08-21	15.7784
2648	1	2016-08-22	15.7784
2648	1	2016-08-23	15.7784
2648	1	2016-08-24	0.0000
2648	1	2016-08-25	0.0000
2648	1	2016-08-26	15.7784
2648	1	2016-08-27	15.7784
2648	1	2016-08-28	15.7784
2648	1	2016-08-29	15.7784
2648	1	2016-08-30	15.7784
2648	1	2016-08-31	0.0000
2648	1	2016-09-01	0.0000
2648	1	2016-09-02	15.7784
2648	1	2016-09-03	15.7784
2648	1	2016-09-04	15.7784
2648	1	2016-09-05	15.7784
2648	1	2016-09-06	16.0908
2648	1	2016-09-07	0.0000
2648	1	2016-09-08	0.0000
2648	1	2016-09-09	16.0908
2648	1	2016-09-10	16.0908
2648	1	2016-09-11	16.0908
2648	1	2016-09-12	16.0908
2648	1	2016-09-13	16.0908
2648	1	2016-09-14	0.0000
2648	1	2016-09-15	0.0000
2648	1	2016-09-16	16.0908
2648	1	2016-09-17	16.0908
2648	1	2016-09-18	16.0908
2648	1	2016-09-19	16.0908
2648	1	2016-09-20	16.0908
2648	1	2016-09-21	0.0000
2648	1	2016-09-22	0.0000
2648	1	2016-09-23	16.0908
2648	1	2016-09-24	16.0908
2648	1	2016-09-25	16.0908
2648	1	2016-09-26	16.0908
2648	1	2016-09-27	16.0908
2648	1	2016-09-28	0.0000
2648	1	2016-09-29	0.0000
2648	1	2016-09-30	16.0908
2648	1	2016-10-01	16.0908
2648	1	2016-10-02	16.0908
2648	1	2016-10-03	16.0908
2648	1	2016-10-04	16.0908
2648	1	2016-10-05	0.0000
2648	1	2016-10-06	0.0000
2648	1	2016-10-07	15.9934
2648	1	2016-10-08	15.9934
2648	1	2016-10-09	15.9934
2648	1	2016-10-10	15.9934
2648	1	2016-10-11	15.9934
2648	1	2016-10-12	0.0000
2648	1	2016-10-13	0.0000
2648	1	2016-10-14	15.9934
2648	1	2016-10-15	15.9934
2648	1	2016-10-16	15.9934
2648	1	2016-10-17	15.9934
2648	1	2016-10-18	15.9934
2648	1	2016-10-19	0.0000
2648	1	2016-10-20	0.0000
2648	1	2016-10-21	15.9934
2648	1	2016-10-22	15.9934
2648	1	2016-10-23	15.9934
2648	1	2016-10-24	15.9934
2648	1	2016-10-25	15.9934
2648	1	2016-10-26	0.0000
2648	1	2016-10-27	0.0000
2648	1	2016-10-28	15.9934
2648	1	2016-10-29	15.9934
2648	1	2016-10-30	15.9934
2648	1	2016-10-31	15.9934
2648	1	2016-11-01	15.9934
2648	1	2016-11-02	0.0000
2648	1	2016-11-03	0.0000
2648	1	2016-11-04	15.9934
2648	1	2016-11-05	15.9934
2648	1	2016-11-06	13.8757
2648	1	2016-11-07	13.8757
2648	1	2016-11-08	13.8757
2648	1	2016-11-09	0.0000
2648	1	2016-11-10	0.0000
2648	1	2016-11-11	13.8757
2648	1	2016-11-12	13.8757
